month,orders,late_rate,mean_score
2016-10,258,0.0078,4.019
2017-01,740,0.0284,4.199
2017-02,1640,0.0256,4.204
2017-03,2526,0.0447,4.188
2017-04,2266,0.0644,4.136
2017-05,3502,0.0283,4.235
2017-06,3106,0.0293,4.223
2017-07,3811,0.0276,4.262
2017-08,4162,0.0291,4.314
2017-09,4105,0.0429,4.269
2017-10,4446,0.0403,4.205
2017-11,7236,0.1226,3.989
2017-12,5456,0.0731,4.089
2018-01,6989,0.0565,4.109
2018-02,6495,0.1404,3.88
2018-03,6946,0.1866,3.812
2018-04,6365,0.0459,4.205
2018-05,6655,0.0651,4.235
2018-06,5950,0.0118,4.307
2018-07,5557,0.0349,4.309
2018-08,6245,0.0613,4.309
