customer_state,orders,late_rate,mean_score,avg_days_late_when_late
AL,390,0.2051,3.867,9.1
MA,700,0.1743,3.836,10.5
SE,332,0.1506,3.907,16.4
PI,464,0.1401,4.002,13.5
CE,1254,0.1388,3.943,15.0
RR,40,0.125,3.875,36.4
RJ,12074,0.1203,3.963,13.5
BA,3183,0.1191,3.927,11.9
PA,923,0.1062,3.913,13.1
ES,1942,0.105,4.078,10.3
PB,504,0.1012,4.073,9.5
TO,269,0.1004,4.145,6.5
MS,694,0.098,4.159,8.3
PE,1559,0.0956,4.076,11.7
RN,465,0.0925,4.153,14.7
SC,3465,0.082,4.13,8.0
GO,1910,0.0639,4.102,11.2
RS,5244,0.0612,4.183,10.2
MT,864,0.059,4.139,10.0
DF,2031,0.0581,4.128,7.4
MG,11120,0.0452,4.19,8.4
SP,39683,0.0449,4.244,8.3
PR,4821,0.0402,4.241,8.2
AC,77,0.039,4.091,18.7
AP,66,0.0303,4.242,72.5
RO,241,0.029,4.162,5.6
AM,143,0.028,4.259,30.2
