product_category_name_english,items,total_price,total_freight,avg_item_price,share_freight_exceeds_price,freight_ratio,enough_items
home_comfort_2,30,760.27,410.31,25.34,0.5333,0.5397,false
flowers,33,1110.04,488.87,33.64,0.0909,0.4404,false
furniture_mattress_and_upholstery,37,4323.38,1581.37,116.85,0.027,0.3658,false
christmas_supplies,150,8737.84,3190.91,58.25,0.22,0.3652,false
diapers_and_hygiene,37,1500.79,545.4,40.56,0.027,0.3634,false
cds_dvds_musicals,14,730.0,224.99,52.14,0.0,0.3082,false
signaling_and_security,197,21315.05,6477.54,108.2,0.1218,0.3039,false
electronics,2729,155043.93,45679.16,56.81,0.2202,0.2946,true
food_drink,269,14942.88,4394.89,55.55,0.0818,0.2941,true
dvds_blu_ray,61,4542.59,1227.25,74.47,0.3607,0.2702,false
fashion_sport,29,2094.52,563.03,72.22,0.0,0.2688,false
furniture_living_room,495,67350.7,17694.37,136.06,0.0141,0.2627,true
kitchen_dining_laundry_garden_furniture,274,45531.98,11540.99,166.18,0.0219,0.2535,true
drinks,361,21529.84,5441.27,59.64,0.0526,0.2527,true
office_furniture,1668,268154.31,67057.05,160.76,0.0048,0.2501,true
food,499,28731.15,7063.53,57.58,0.018,0.2458,true
furniture_decor,8160,711927.69,168402.23,87.25,0.0392,0.2365,true
housewares,6795,615628.69,142763.56,90.6,0.055,0.2319,true
furniture_bedroom,103,19051.8,4327.42,184.97,0.0291,0.2271,false
books_technical,263,18702.23,4198.84,71.11,0.0342,0.2245,true
telephony,4430,309860.23,69342.39,69.95,0.0953,0.2238,true
fashio_female_clothing,45,2634.94,583.5,58.55,0.0,0.2214,false
luggage_accessories,1077,138701.63,30076.49,128.79,0.0074,0.2168,true
fashion_shoes,257,23001.46,4813.37,89.5,0.0039,0.2093,true
costruction_tools_garden,232,25096.28,5187.66,108.17,0.0431,0.2067,true
garden_tools,4268,470495.28,96650.4,110.24,0.0253,0.2054,true
fashion_bags_accessories,1985,149329.39,30558.9,75.23,0.0262,0.2046,true
stationery,2466,223788.69,45786.36,90.75,0.0373,0.2046,true
arts_and_craftmanship,24,1814.01,370.13,75.58,0.125,0.204,false
fashion_underwear_beach,127,9305.95,1854.07,73.28,0.1181,0.1992,false
fashion_male_clothing,125,10452.33,2062.62,83.62,0.0,0.1973,false
bed_bath_table,10953,1023434.76,201774.5,93.44,0.0181,0.1972,true
industry_commerce_and_business,265,38498.81,7580.53,145.28,0.0151,0.1969,true
books_general_interest,537,45302.15,8880.39,84.36,0.0223,0.196,true
market_place,305,27795.77,5318.61,91.13,0.0328,0.1913,true
construction_tools_lights,301,39957.0,7490.14,132.75,0.0166,0.1875,true
cine_photo,70,6674.47,1227.71,95.35,0.0714,0.1839,false
pet_shop,1924,211695.64,38918.56,110.03,0.0203,0.1838,true
party_supplies,42,4465.19,820.19,106.31,0.0476,0.1837,false
home_appliances,754,78832.48,14469.3,104.55,0.0438,0.1835,true
sports_leisure,8431,954852.55,163404.36,113.25,0.0251,0.1711,true
home_construction,596,81407.57,13614.8,136.59,0.0218,0.1672,true
books_imported,57,4418.86,732.08,77.52,0.0,0.1657,false
baby,2982,400421.84,66305.81,134.28,0.0225,0.1656,true
tablets_printing_image,83,7528.41,1226.2,90.7,0.0361,0.1629,false
la_cuisine,14,2054.99,333.55,146.78,0.0,0.1623,false
computers_accessories,7644,888724.61,143999.16,116.26,0.0225,0.162,true
art,197,23657.3,3828.23,120.09,0.0102,0.1618,false
toys,4030,471286.48,75774.58,116.94,0.0184,0.1608,true
unknown,1537,170726.63,26969.06,111.08,0.0566,0.158,true
auto,4140,578966.65,90488.1,139.85,0.0415,0.1563,true
fashion_childrens_clothes,7,519.95,78.72,74.28,0.0,0.1514,false
security_and_services,2,283.29,41.22,141.64,0.0,0.1455,false
home_confort,429,58008.45,8429.77,135.22,0.007,0.1453,true
health_beauty,9465,1233131.72,178957.81,130.28,0.031,0.1451,true
construction_tools_construction,916,142108.49,20273.52,155.14,0.0273,0.1427,true
perfumery,3340,390144.65,53026.98,116.81,0.0419,0.1359,true
cool_stuff,3718,610204.1,81476.79,164.12,0.0108,0.1335,true
consoles_games,1089,148003.37,19094.36,135.91,0.0569,0.129,true
costruction_tools_tools,103,15903.95,2030.22,154.41,0.0485,0.1277,false
air_conditioning,289,53323.56,6530.99,184.51,0.0173,0.1225,true
music,38,6034.35,690.51,158.8,0.1053,0.1144,false
audio,362,50570.6,5684.72,139.7,0.1022,0.1124,true
musical_instruments,651,184315.74,17871.38,283.13,0.0138,0.097,true
construction_tools_safety,183,38773.22,3730.8,211.88,0.0273,0.0962,false
home_appliances_2,231,107953.95,10254.57,467.33,0.013,0.095,true
pc_gamer,8,1306.95,123.15,163.37,0.0,0.0942,false
watches_gifts,5859,1166176.98,98156.14,199.04,0.0051,0.0842,true
small_appliances,658,182754.12,15354.35,277.74,0.0137,0.084,true
fixed_telephony,255,55315.21,4501.33,216.92,0.098,0.0814,true
agro_industry_and_commerce,206,70566.1,5637.2,342.55,0.0583,0.0799,true
kitchen_portables,14,3933.63,294.42,280.97,0.0714,0.0748,false
small_appliances_home_oven_and_coffee,73,46589.56,2656.34,638.21,0.0137,0.057,false
computers,199,218684.14,9665.62,1098.92,0.0,0.0442,false
