customer_state,items,total_price,total_freight,avg_freight,share_same_state_seller,freight_ratio,enough_items
RR,46,7057.47,1982.05,43.09,0.0,0.2808,false
MA,800,117009.38,30794.17,38.49,0.0188,0.2632,true
RO,273,45682.76,11283.24,41.33,0.0,0.247,true
AM,163,22155.84,5429.63,33.31,0.0,0.2451,false
SE,375,56574.19,13714.94,36.57,0.0,0.2424,true
PI,523,84721.0,20457.19,39.12,0.0019,0.2415,true
TO,310,48402.51,11604.86,37.44,0.0,0.2398,true
AC,91,15930.97,3644.36,40.05,0.0,0.2288,false
RN,521,82105.66,18609.12,35.72,0.0461,0.2266,true
PE,1746,251889.49,57082.56,32.69,0.0137,0.2266,true
PB,586,112586.82,25251.73,43.09,0.0017,0.2243,true
PA,1054,174470.59,37552.98,35.63,0.0,0.2152,true
CE,1426,219757.38,46679.39,32.73,0.0063,0.2124,true
AP,81,13374.81,2767.0,34.16,0.0,0.2069,false
BA,3683,493584.14,97553.67,26.49,0.0201,0.1976,true
AL,427,78855.72,15316.77,35.87,0.0,0.1942,true
MT,1037,152191.62,29032.8,28.0,0.0068,0.1908,true
ES,2225,268643.45,49014.48,22.03,0.004,0.1825,true
RS,6134,728897.47,132575.32,21.61,0.0523,0.1819,true
GO,2277,282836.7,51375.65,22.56,0.0171,0.1816,true
SC,4097,507012.13,88115.65,21.51,0.0727,0.1738,true
PR,5649,666063.51,115645.29,20.47,0.1425,0.1736,true
MG,12916,1552481.83,266409.84,20.63,0.1292,0.1716,true
RJ,14143,1759651.13,295750.44,20.91,0.0766,0.1681,true
DF,2355,296498.41,49624.94,21.07,0.0259,0.1674,true
MS,811,115429.97,18937.58,23.35,0.0,0.1641,true
SP,46448,5067633.16,702069.99,15.12,0.7627,0.1385,true
