rank,seller_id,orders,reviewed_orders,mean_score,bad_reviews,canceled_orders,late_rate,revenue,bad_share,cancel_rate,bad_share_lower_bound,seller_state,seller_city
1,1ca7077d890b907f89be8c954a02686a,115,114,2.333,70,0,0.1667,13341.57,0.614,0.0,0.5223,SP,santana de parnaiba
2,ffff564a4f9085cd26170f4732393726,20,20,2.1,13,4,0.0,1426.3,0.65,0.2,0.4329,SP,campinas
3,2eb70248d66e0e3ef83659f71b244378,202,198,2.697,99,0,0.1123,42628.61,0.5,0.0,0.431,SP,campinas
4,54965bbe3e4f07ae045b90b0b8541f52,78,74,3.0,33,0,0.3099,10961.3,0.4459,0.0,0.3381,PR,foz do iguacu
5,a49928bcdf77c55c6d6e05e09a9b4ca5,98,98,3.01,40,0,0.2188,8816.7,0.4082,0.0,0.3161,SP,sao paulo
6,972d0f9cf61b499a4812cf0bfa3ad3c4,83,79,3.025,33,0,0.1111,8089.29,0.4177,0.0,0.3152,SC,brusque
7,b19f3ca2ea475913750f25a5c37c8d8f,24,24,2.792,12,1,0.3158,6202.91,0.5,0.0417,0.3143,MG,divinopolis
8,bbad7e518d7af88a0897397ffdca1979,69,68,3.162,28,0,0.1642,4462.22,0.4118,0.0,0.3026,SP,sao paulo
9,d71d863e5ef30d94e440c11be17dcd8f,29,26,2.962,12,0,0.1304,11900.9,0.4615,0.0,0.2875,SP,osasco
10,dc8798cbf453b7e0f98745e396cc5616,41,41,3.049,17,1,0.0571,2056.3,0.4146,0.0244,0.2775,SP,sao paulo
11,ad781527c93d00d89a11eecd9dcad7c1,44,44,3.068,18,1,0.3158,6899.57,0.4091,0.0227,0.2769,SP,sao jose do rio preto
12,8444e55c1f13cd5c179851e5ca5ebd00,99,99,3.263,35,4,0.0652,22873.21,0.3535,0.0404,0.2664,MG,congonhal
13,602044f2c16190c2c6e45eb35c2e21cb,50,49,3.143,19,0,0.1739,3739.16,0.3878,0.0,0.2643,SP,ibitinga
14,6fd52c528dcb38be2eea044946b811f8,67,66,3.394,24,0,0.1343,7743.02,0.3636,0.0,0.258,SP,sao paulo
15,88460e8ebdecbfecb5f9601833981930,248,247,3.413,77,1,0.1728,31546.55,0.3117,0.004,0.2572,PR,maringa
16,4c8b8048e33af2bf94f2eb547746a916,23,23,2.957,10,4,0.1053,2020.73,0.4348,0.1739,0.2564,SP,ibitinga
17,2a1348e9addc1af5aaa619b1a3679d6b,52,51,3.118,19,1,0.2708,2843.0,0.3725,0.0192,0.2532,MG,belo horizonte
18,710e3548e02bc1d2831dfc4f1b5b14d4,136,135,3.363,44,0,0.0388,23979.11,0.3259,0.0,0.2526,PR,rolandia
19,712e6ed8aa4aa1fa65dab41fed5737e4,79,78,3.385,27,0,0.2078,39815.0,0.3462,0.0,0.2501,SC,videira
20,0b35c634521043bf4b47e21547b99ab5,51,50,3.36,18,0,0.16,13533.65,0.36,0.0,0.2414,PR,teixeira soares
21,18a349e75d307f4b4cc646a691ed4216,121,120,3.442,38,2,0.0556,8711.53,0.3167,0.0165,0.2403,SP,sao paulo
22,b2479f944e1b90cf8a5de1bbfde284d6,103,102,3.422,32,1,0.1188,4752.51,0.3137,0.0097,0.2318,SP,ibitinga
23,7c67e1448b00f6e969d365cea6b010ab,982,976,3.489,251,0,0.0916,187923.89,0.2572,0.0,0.2308,SP,itaquaquecetuba
24,3c7c4a49ec3c6550809089c6a2ca9370,141,141,3.66,40,0,0.0576,4033.64,0.2837,0.0,0.2158,SP,sao paulo
25,7040e82f899a04d1b434b795a43b4617,212,210,3.6,57,3,0.0769,9738.2,0.2714,0.0142,0.2158,SP,sao paulo
26,897060da8b9a21f655304d50fd935913,317,314,3.631,81,1,0.106,23023.92,0.258,0.0032,0.2127,SP,ribeirao preto
27,bc47d5d1490df2b36add65d733eafaba,24,24,3.25,9,2,0.0952,1004.8,0.375,0.0833,0.2116,SP,santo andre
28,070d165398b553f3b4b851c216b8a358,32,31,3.323,11,0,0.129,3393.16,0.3548,0.0,0.2111,SP,sao paulo
29,af4a0e4cfe1d9c26b6712b1be25a72e5,21,21,3.429,8,0,0.0476,8757.98,0.381,0.0,0.2075,MG,mateus leme
30,1835b56ce799e6a4dc4eddc053f04066,423,420,3.638,103,0,0.1064,33344.21,0.2452,0.0,0.2065,SP,ibitinga
31,5058e8c1e82653974541e83690655b4a,63,62,3.242,19,0,0.1129,10022.82,0.3065,0.0,0.2059,SP,itaquaquecetuba
32,cac4c8e7b1ca6252d8f20b2fc1a2e4af,75,74,3.527,22,0,0.1781,4168.18,0.2973,0.0,0.2053,SP,indaiatuba
33,a7f13822ceb966b076af67121f87b063,75,74,3.338,22,0,0.0411,12477.64,0.2973,0.0,0.2053,SP,itaquaquecetuba
34,850913d59ce317156b00f3705f1c3edb,32,32,3.438,11,1,0.1724,2690.0,0.3438,0.0312,0.2041,SP,atibaia
35,835f0f7810c76831d6c7d24c7a646d4d,44,44,3.341,14,1,0.2619,5130.0,0.3182,0.0227,0.2,SP,sao paulo
36,4e5725ba188db8252977a4f0227bd462,22,22,3.409,8,0,0.2381,1930.59,0.3636,0.0,0.1973,SP,ribeirao preto
37,c60b801f2d52c7f7f91de00870882a75,41,41,3.317,13,0,0.1538,12913.5,0.3171,0.0,0.1957,SP,guarulhos
38,d3f39f05462b79a4562d35893a28f159,34,34,3.647,11,0,0.1212,2411.3,0.3235,0.0,0.1913,SP,mococa
39,8e6d7754bc7e0f22c96d255ebda59eba,85,85,3.576,23,0,0.131,14497.27,0.2706,0.0,0.1876,SP,sao jose dos campos
40,6973a06f484aacf400ece213dbf3d946,95,94,3.564,25,3,0.1461,11011.05,0.266,0.0316,0.1872,SP,sao jose dos campos
41,821fb029fc6e495ca4f08a35d51e53a5,28,27,3.407,9,1,0.3478,19187.42,0.3333,0.0357,0.1864,SP,sao paulo
42,855668e0971d4dfd7bef1b6a4133b41b,312,307,3.772,70,2,0.1275,32208.16,0.228,0.0064,0.1846,SP,itatiba
43,95f83f51203c626648c875dd41874c7f,52,52,3.673,15,1,0.0408,3217.46,0.2885,0.0192,0.1833,MG,borda da mata
44,f46490624488d3ff7ce78613913a7711,83,83,3.663,22,0,0.1125,5802.85,0.2651,0.0,0.1821,SP,guarulhos
45,ede0c03645598cdfc63ca8237acbe73d,46,44,3.523,13,1,0.3256,2518.37,0.2955,0.0217,0.1816,SP,ribeirao preto
46,2089a6d640999f9b9141ac719b2af596,44,44,3.727,13,1,0.125,8830.82,0.2955,0.0227,0.1816,SP,sao carlos
47,229c3efbfb0ea2058de4ccdfbc3d784a,121,120,3.625,30,0,0.0171,15744.0,0.25,0.0,0.1811,MG,belo horizonte
48,36a968b544695394e4e9d7572688598f,154,154,3.649,37,1,0.0345,9482.87,0.2403,0.0065,0.1797,SP,santos
49,4a3ca9315b744ce9f8e9374361493884,1806,1785,3.828,342,2,0.0979,200472.92,0.1916,0.0011,0.174,SP,ibitinga
50,cca3071e3e9bb7d12640c9fbe2301306,712,700,3.847,141,1,0.0488,64009.89,0.2014,0.0014,0.1734,SP,ibitinga
51,891071be6ba827b591264c90c2ae8a63,92,92,3.772,23,1,0.1429,4177.28,0.25,0.0109,0.1728,SP,sao paulo
52,431af27f296bc6519d890aa5a05fdb11,117,116,3.776,28,0,0.1379,13109.5,0.2414,0.0,0.1726,SP,ribeirao preto
53,f08c008c8a8d31417763738a1788a2a8,22,21,3.19,7,0,0.15,1291.72,0.3333,0.0,0.1719,PR,santa terezinha de itaipu
54,82e0a475a88cc9595229d8029273f045,42,42,3.643,12,1,0.0976,10930.02,0.2857,0.0238,0.1717,SP,sao paulo
55,d2374cbcbb3ca4ab1086534108cc3ab7,524,518,3.766,105,1,0.0527,21223.92,0.2027,0.0019,0.1703,SP,ibitinga
56,d1c281d3ae149232351cd8c8cc885f0d,215,213,3.798,47,0,0.0657,26942.6,0.2207,0.0,0.1702,SP,ibitinga
