rank,seller_id,orders,reviewed_orders,mean_score,bad_reviews,canceled_orders,late_rate,revenue,bad_share,cancel_rate,bad_share_lower_bound,seller_state,seller_city
1,1ca7077d890b907f89be8c954a02686a,115,114,2.333,70,0,0.1667,13341.57,0.614,0.0,0.5223,SP,santana de parnaiba
2,ffff564a4f9085cd26170f4732393726,20,20,2.1,13,4,0.0,1426.3,0.65,0.2,0.4329,SP,campinas
3,2eb70248d66e0e3ef83659f71b244378,202,198,2.697,99,0,0.1123,42628.61,0.5,0.0,0.431,SP,campinas
4,54965bbe3e4f07ae045b90b0b8541f52,78,74,3.0,33,0,0.3099,10961.3,0.4459,0.0,0.3381,PR,foz do iguacu
5,a49928bcdf77c55c6d6e05e09a9b4ca5,98,98,3.01,40,0,0.2188,8816.7,0.4082,0.0,0.3161,SP,sao paulo
6,972d0f9cf61b499a4812cf0bfa3ad3c4,83,79,3.025,33,0,0.1111,8089.29,0.4177,0.0,0.3152,SC,brusque
7,b19f3ca2ea475913750f25a5c37c8d8f,24,24,2.792,12,1,0.3158,6202.91,0.5,0.0417,0.3143,MG,divinopolis
8,bbad7e518d7af88a0897397ffdca1979,69,68,3.162,28,0,0.1642,4462.22,0.4118,0.0,0.3026,SP,sao paulo
9,d71d863e5ef30d94e440c11be17dcd8f,29,26,2.962,12,0,0.1304,11900.9,0.4615,0.0,0.2875,SP,osasco
10,dc8798cbf453b7e0f98745e396cc5616,41,41,3.049,17,1,0.0571,2056.3,0.4146,0.0244,0.2775,SP,sao paulo
11,ad781527c93d00d89a11eecd9dcad7c1,44,44,3.068,18,1,0.3158,6899.57,0.4091,0.0227,0.2769,SP,sao jose do rio preto
12,8444e55c1f13cd5c179851e5ca5ebd00,99,99,3.263,35,4,0.0652,22873.21,0.3535,0.0404,0.2664,MG,congonhal
13,602044f2c16190c2c6e45eb35c2e21cb,50,49,3.143,19,0,0.1739,3739.16,0.3878,0.0,0.2643,SP,ibitinga
14,6fd52c528dcb38be2eea044946b811f8,67,66,3.394,24,0,0.1343,7743.02,0.3636,0.0,0.258,SP,sao paulo
15,88460e8ebdecbfecb5f9601833981930,248,247,3.413,77,1,0.1728,31546.55,0.3117,0.004,0.2572,PR,maringa
16,4c8b8048e33af2bf94f2eb547746a916,23,23,2.957,10,4,0.1053,2020.73,0.4348,0.1739,0.2564,SP,ibitinga
17,2a1348e9addc1af5aaa619b1a3679d6b,52,51,3.118,19,1,0.2708,2843.0,0.3725,0.0192,0.2532,MG,belo horizonte
18,710e3548e02bc1d2831dfc4f1b5b14d4,136,135,3.363,44,0,0.0388,23979.11,0.3259,0.0,0.2526,PR,rolandia
19,712e6ed8aa4aa1fa65dab41fed5737e4,79,78,3.385,27,0,0.2078,39815.0,0.3462,0.0,0.2501,SC,videira
20,0b35c634521043bf4b47e21547b99ab5,51,50,3.36,18,0,0.16,13533.65,0.36,0.0,0.2414,PR,teixeira soares
